,name,trackID,popularity,album,artist,artist_popularity,release_date,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Is hit
0,Starboy,5aAx2yezTd8zXrkmtKl66Z,0,Starboy,The Weeknd,97,2016-11-25,230453,0.165,0.681,0.594,3.49e-06,0.134,-7.028,0.282,186.054,4,1
1,Closer,7BKLCZ1jbUBVqRi2FVlTVw,83,Closer,The Chainsmokers,86,2016-07-29,244960,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,4,1
2,Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,75,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,81,2016-10-21,251088,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965,4,1
3,Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,0,Encore,DJ Snake,82,2016-08-05,205946,0.0784,0.476,0.718,1.02e-05,0.122,-5.309,0.0576,199.864,4,1
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,0,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,81,2016-12-09,245200,0.0631,0.735,0.451,1.3e-05,0.325,-8.374,0.0585,117.973,4,1
5,Don't Wanna Know,5MFzQMkrl1FOOng9tq6R9r,0,Don't Wanna Know,Maroon 5,90,2016-10-11,214480,0.338,0.783,0.623,0.0,0.0975,-6.126,0.08,100.048,4,1
6,Fake Love,343YBumqHu19cGoGARUTsd,73,More Life,Drake,98,2017-03-18,210937,0.105,0.928,0.481,0.0,0.176,-9.35,0.287,134.007,4,1
7,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,83,Back from the Edge,James Arthur,83,2016-10-28,211466,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.043,4,1
8,24K Magic,6b8Be6ljOzmkOmFslEb23P,78,24K Magic,Bruno Mars,93,2016-11-17,225983,0.034,0.818,0.803,0.0,0.153,-4.282,0.0797,106.97,4,1
9,I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,71,Starboy,The Weeknd,97,2016-11-24,269186,0.426,0.773,0.819,0.0,0.0679,-5.946,0.118,92.99,4,1
10,Black Beatles,6fujklziTHa8uoM5OQSfIo,75,SremmLife 2 (Deluxe),Rae Sremmurd,78,2016-08-12,291893,0.142,0.794,0.632,0.0,0.128,-6.163,0.0649,145.926,4,1
11,One Dance,1xznGGDReH1oQq0xzbwXa3,0,Views,Drake,98,2016-05-06,173986,0.00784,0.791,0.619,0.00423,0.351,-5.886,0.0532,103.989,4,1
12,Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,74,El Dorado,Shakira,86,2017-05-26,195840,0.187,0.852,0.773,3.05e-05,0.159,-2.921,0.0776,102.034,4,1
13,Cold Water (feat. Justin Bieber & MØ),6DNtNfH8hXkqOX1sjqmI7p,0,Cold Water (feat. Justin Bieber & MØ),Major Lazer,79,2016-07-22,185351,0.0736,0.608,0.798,0.0,0.156,-5.092,0.0432,92.943,4,1
14,Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,44,Call On Me (Remixes),Starley,61,2016-10-14,222040,0.0604,0.67,0.838,0.000611,0.159,-4.031,0.0362,104.998,4,1
15,In the Name of Love,04DwTuZ2VBdJCCC5TROn7L,21,The Martin Garrix Collection,Martin Garrix,82,2017-04-21,195840,0.0592,0.49,0.485,0.0,0.337,-6.237,0.0406,133.889,4,1
16,Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,70,Culture,Migos,83,2017-04-07,343150,0.0611,0.926,0.666,0.0,0.123,-5.314,0.244,127.079,4,1
17,Side To Side,4pLwZjInHj3SimIyN9SnOz,0,Dangerous Woman,Ariana Grande,93,2016-05-20,226160,0.0408,0.648,0.738,0.0,0.292,-5.883,0.247,159.145,4,1
