,name,trackID,popularity,album,artist,artist_popularity,release_date,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Is hit
788,New,4tERsdVCLtLtrGdFBf9DGC,66,New,Daya,75,2017-10-11,230879,0.052,0.715,0.742,2.47e-05,0.364,-4.331,0.0347,106.971,4,1
789,Wolves,7EmGUiUaOSGDnUUQUDrOXC,0,Wolves,Selena Gomez,86,2017-10-25,197993,0.139,0.715,0.802,0.0,0.177,-4.647,0.0394,124.989,4,1
790,Whiskey (feat. A$AP Rocky),4OEOEsOhlzDqQuewiuPJAc,0,Whiskey (feat. A$AP Rocky),Maroon 5,90,2017-10-20,210422,0.723,0.597,0.41,0.0,0.106,-8.293,0.074,103.666,4,1
791,On The Loose,4kVo85bcmBkvMBcJl42XCA,0,Flicker (Deluxe),Niall Horan,81,2017-10-20,223814,0.00745,0.721,0.613,2.55e-06,0.125,-7.051,0.0332,124.012,4,1
792,No Cap,06Gyf2pFDVmN5K8XAawG96,54,SUPER SLIMEY,Future,91,2017-10-20,144142,0.00108,0.8,0.523,0.0,0.352,-6.578,0.107,147.057,4,1
793,MotorSport,1YZfcVLbbJwfizR5cDOp3q,0,MotorSport,Migos,83,2017-10-27,307660,0.0519,0.901,0.529,0.0,0.179,-4.443,0.191,138.003,4,1
794,Questions,3ojTJaonfkL96iIWa47SU3,63,Heartbreak on a Full Moon,Chris Brown,90,2017-10-31,129477,0.00543,0.614,0.598,0.0,0.1,-6.335,0.0561,105.803,4,1
795,I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,1,I Miss You (feat. Julia Michaels),Clean Bandit,81,2017-10-26,205747,0.245,0.638,0.658,3.77e-06,0.0919,-6.318,0.0456,105.076,4,1
796,Ghostface Killers (feat. Travis Scott),5u6vkDnOyaf8LsteDAj2ub,69,Without Warning,21 Savage,90,2017-10-30,268933,0.333,0.782,0.435,1.31e-05,0.342,-7.033,0.156,82.996,4,1
797,All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb,64,All Falls Down (feat. Juliander),Alan Walker,85,2017-10-27,199111,0.303,0.658,0.678,0.0,0.361,-4.407,0.058,97.976,4,1
798,Rake It Up (feat. Nicki Minaj),4knL4iPxPOZjQzTUlELGSY,67,I Still Am,Yo Gotti,74,2017-10-27,276333,0.022,0.91,0.444,0.0,0.137,-8.126,0.344,149.953,4,1
799,New,7y4JznkAv2W3IKw9T1o2VK,0,New,Daya,75,2017-10-11,230879,0.0473,0.717,0.743,8.81e-06,0.368,-4.337,0.0322,106.919,4,1
800,Thriller,3S2R0EVwBSAVMd5UMgKTL0,68,Thriller 25 Super Deluxe Edition,Michael Jackson,85,1982-11-30,357266,0.0855,0.773,0.859,0.00018,0.914,-4.913,0.0747,118.458,4,1
801,Burning,7FzhZ7C3NhM1UyqSHV9ytY,0,Burning,Sam Smith,86,2017-10-27,203289,0.874,0.493,0.221,0.0,0.285,-9.301,0.0486,82.273,4,1
802,Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,80,Without Warning,21 Savage,90,2017-10-30,172800,0.149,0.88,0.428,5.05e-05,0.114,-8.28,0.206,100.007,4,1
803,SUTRA,5TmZYdHW6HJ9gt7Aokuql5,0,SUTRA,Sebastian Yatra,87,2017-10-13,203853,0.0474,0.746,0.745,1.71e-06,0.15,-3.311,0.146,180.081,4,1
804,"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",5gx2E5aIXMRBellPZW1up5,64,Heartbreak on a Full Moon,Chris Brown,90,2017-10-31,293434,0.119,0.82,0.696,0.0,0.232,-4.918,0.182,144.981,4,1
805,Ahora Me Llama,11ZRYISCsAsLyyJo47DudZ,0,Unstoppable,KAROL G,91,2017-10-27,235226,0.00982,0.656,0.568,1.82e-05,0.0937,-5.666,0.0409,134.878,4,1
806,Rap Saved Me (feat. Quavo),0tdCy39PgWN8LFWu34ORn3,64,Without Warning,21 Savage,90,2017-10-30,257600,0.00525,0.845,0.399,0.741,0.102,-7.509,0.312,143.049,4,1
807,Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,78,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,201000,0.64,0.681,0.372,0.0,0.169,-8.237,0.0432,91.873,4,1
808,What Lovers Do (feat. SZA),3hBBKuWJfxlIlnd9QFoC8k,0,Red Pill Blues (Deluxe),Maroon 5,90,2017-11-03,199849,0.0786,0.795,0.615,2.98e-06,0.0855,-5.211,0.0671,110.009,4,1
809,Pray,7DsX5K72fewVGb47qj7Tbg,60,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,221595,0.282,0.535,0.382,1.14e-05,0.0865,-9.465,0.0426,87.801,3,1
810,,1YqcGlCHNquxBhlUZsjhMT,0,,,0,0000,0,0.224,0.728,0.81,1.1e-05,0.0952,-5.2,0.0589,171.083,4,1
811,Call It What You Want,0tDfp0vFR95Gg6Mrhza3lX,0,Call It What You Want,Taylor Swift,98,2017-11-03,203506,0.193,0.599,0.508,0.000177,0.329,-9.894,0.105,163.957,4,1
812,Burning,2mb6YdoavL6db22p7XKJQZ,56,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,203289,0.885,0.631,0.224,0.0,0.282,-9.383,0.0417,86.936,4,1
813,One Last Song,01uk7IzZyFNfQTDBXxx6NB,56,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,192922,0.367,0.672,0.53,0.0,0.321,-6.43,0.0284,103.326,3,1
814,Wait,4lUnFLtn8w3W76FiYDRzmO,0,Red Pill Blues (Deluxe),Maroon 5,90,2017-11-03,190642,0.0803,0.648,0.603,0.0,0.112,-5.098,0.0507,126.116,4,1
815,Say It First,4K1vOdIFqskQv3zoI0FdAk,54,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,247554,0.766,0.566,0.407,0.000185,0.111,-10.293,0.0914,119.781,4,1
816,Lemon,6tUgfsOa8PLkoede5nOR7D,0,Lemon,N.E.R.D,63,2017-11-01,219880,0.00194,0.919,0.73,8.51e-05,0.101,-6.581,0.088,95.044,4,1
817,Sensualidad,5hcisvFMidkMJlElTO9Qmw,73,Sensualidad,Various Artists,0,2017-11-03,297485,0.423,0.807,0.681,0.0,0.0962,-6.268,0.0983,140.006,4,1
818,Midnight Train,1A85fOmviQuGgkF6Lww6Nd,56,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,207164,0.377,0.713,0.597,2.86e-05,0.179,-7.117,0.0692,96.06,4,1
819,No Peace,5ZX1X9Rl4zbx1Wwyn3idVD,56,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,283294,0.343,0.66,0.542,3.89e-06,0.122,-8.11,0.077,135.828,4,1
820,Kids in Love (feat. The Night Game),1Bxzw8ag71snOU9IbhXVD6,0,Kids in Love,Kygo,85,2017-11-03,263400,0.399,0.499,0.673,1.21e-06,0.208,-4.505,0.0348,121.87,4,1
821,Mask Off,0VgkVdmE4gld66l8iyGjgx,78,FUTURE,Future,91,2017-06-30,204600,0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,4,1
822,HIM,3AFPGvRzeKeNJbIbLwcz4G,49,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,190087,0.587,0.575,0.248,5.39e-05,0.24,-11.115,0.0299,85.05,4,1
823,"Baby, You Make Me Crazy",1p1SbqeipOd4ezKUpxqaz6,54,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,207966,0.00739,0.513,0.648,4.87e-05,0.176,-7.714,0.0994,169.743,4,1
824,Nothing Left For You,4S2WtfT03YDIlXEwSX4Tjd,47,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,226731,0.616,0.499,0.3,1.69e-06,0.128,-8.631,0.0433,126.724,3,1
825,Corazón,4lESS6vuruP6a79KWRaQou,0,Corazón,Maluma,89,2017-11-03,184066,0.283,0.871,0.768,2.25e-05,0.162,-5.401,0.122,98.989,4,1
826,Dirty Sexy Money (feat. Charli XCX & French Montana),0tPQPaOKM32WgMSbPCYyRH,58,Dirty Sexy Money (feat. Charli XCX & French Montana),David Guetta,91,2017-11-02,172687,0.0789,0.721,0.873,0.0,0.0824,-4.741,0.119,79.943,4,1
827,My Choppa Hate Niggas,2D2w9943rsnJOGCrI4aMQp,63,Without Warning,21 Savage,90,2017-10-30,148640,0.0974,0.862,0.274,0.185,0.183,-5.818,0.416,77.492,4,1
828,Palace,3zesxb7sOGbeSwUrzLUP0f,52,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,187156,0.74,0.345,0.193,4.2e-06,0.117,-10.236,0.0328,77.547,4,1
829,Scars,6t4rYZeShwJai1YSs0tWOQ,46,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,183535,0.759,0.567,0.399,0.000153,0.119,-10.385,0.0981,77.389,4,1
830,The Thrill Of It All,6TwcRSQgztJFw8tQDrs35D,50,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,208903,0.81,0.496,0.279,6.82e-05,0.11,-9.18,0.052,127.053,4,1
831,Betrayed,6NWl2m8asvH83xjuXVNsuG,56,Betrayed,Lil Xan,66,2017-10-19,187453,0.416,0.823,0.419,0.0,0.105,-10.358,0.165,119.958,4,1
832,Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,63,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,78,2017-10-20,220116,0.0482,0.681,0.788,0.0,0.0753,-4.323,0.0785,170.019,4,1
833,One Day At A Time,6AUuRg513AfT50d52O60fS,50,The Thrill Of It All (Special Edition),Sam Smith,86,2017-11-03,209380,0.775,0.502,0.32,0.0,0.113,-7.95,0.0342,129.356,4,1
834,Stranger Things (feat. OneRepublic),5gIRPQWULwrvIt0F6pY7ph,0,Kids in Love,Kygo,85,2017-11-03,221440,0.234,0.604,0.661,0.0,0.0951,-5.914,0.0375,107.016,4,1
835,Pull Up N Wreck (With Metro Boomin),0Gux2yTMWYOlcBUNjGJu5p,0,Pull Up N Wreck (With Metro Boomin),Big Sean,84,2017-11-03,227706,0.0129,0.507,0.442,0.000148,0.174,-7.279,0.367,173.03,4,1
836,Walk On Water (feat. Beyoncé),5b2QnYcT9rQIkhRWt4HztQ,0,Walk On Water (feat. Beyoncé),Eminem,95,2017-11-10,303781,0.801,0.49,0.598,0.0,0.576,-4.814,0.186,84.004,4,1
837,Criminal,6Za3190Sbw39BBC77WSS1C,74,Criminal,Natti Natasha,81,2017-09-01,232549,0.03,0.814,0.813,9.33e-05,0.255,-3.023,0.0561,79.997,4,1
838,Robarte un Beso,0JcNysfWVWaMS7R6vzGB2k,72,VIVES,Carlos Vives,80,2017-11-10,194742,0.0824,0.742,0.859,0.0,0.359,-4.942,0.0482,95.046,4,1
839,Wait,1Qg9jWGDkKAGZXj5v2OG59,0,Red Pill Blues (Deluxe),Maroon 5,90,2017-11-03,190642,0.0889,0.659,0.604,0.0,0.105,-5.084,0.0542,126.135,4,1
840,Wanted You (feat. Lil Uzi Vert),790MhTXPFrYkrqCKvpg4t1,55,Wanted You (feat. Lil Uzi Vert),NAV,80,2017-11-03,228080,0.207,0.795,0.728,0.0,0.237,-4.712,0.0544,146.979,4,1
841,Tip Toe (feat. French Montana),2z4pcBLQXF2BXKFvd0BuB6,64,Tip Toe (feat. French Montana),Jason Derulo,85,2017-11-10,187521,0.0233,0.845,0.709,0.0,0.094,-4.547,0.0714,98.062,4,1
842,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,6GNifiuBPrKFpwNBYnooFm,65,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) [Remix],Lil Uzi Vert,90,2017-11-03,268863,0.68,0.749,0.671,0.0,0.167,-5.151,0.0599,81.994,4,1
843,PICK IT UP (feat. A$AP Rocky),3ncgNpxLoBQ65ABk4djDyd,65,Pick It Up (feat. A$AP Rocky),Famous Dex,67,2017-10-20,191251,0.0149,0.921,0.467,0.000238,0.334,-8.443,0.119,135.995,4,1
844,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,66,Merry Christmas,Mariah Carey,81,1994-10-28,241106,0.164,0.336,0.627,0.0,0.0708,-7.463,0.0384,150.273,4,1
845,La fórmula (feat. Chris Jedi),4XCQtUoRSh22Ep18ULmDnT,52,La Formula (feat. Chris Jeday),De La Ghetto,84,2017-09-15,232240,0.118,0.701,0.845,7.8e-06,0.311,-2.738,0.0668,172.028,4,1
846,The Race,0UioblV1x795s55Ur58c6c,0,Gangland,22 Savage,26,2015,141008,0.019,0.788,0.556,0.0,0.217,-7.655,0.345,80.012,4,1
847,Échame La Culpa,1zsG4eaZmkA1dvjDDsAGLK,0,Échame La Culpa,Luis Fonsi,80,2017-11-17,173720,0.0322,0.724,0.895,0.0,0.097,-3.617,0.0411,96.022,4,1
848,Havana - Remix,3whrwq4DtvucphBPUogRuJ,64,Havana (Remix),Camila Cabello,89,2017-11-12,199095,0.398,0.751,0.579,2.28e-05,0.133,-4.036,0.0321,105.031,4,1
849,Save That Shit,6sn8WaooLLVhQvU96wtEAm,0,Come Over When You're Sober (Part One),Lil Peep,87,2017-08-14,231546,0.0262,0.534,0.583,0.0,0.421,-8.672,0.0288,105.997,4,1
850,Homemade Dynamite - REMIX,2rE9TX3VQ0WNt7kziFhKep,0,Melodrama,Lorde,82,2017-11-10,214254,0.261,0.542,0.55,0.0,0.157,-5.072,0.158,106.435,4,1
851,Downtown,3Ga6eKrUFf12ouh9Yw3v2D,72,Downtown,Anitta,87,2017-11-19,193456,0.18,0.775,0.679,7.26e-05,0.068,-4.985,0.135,166.008,4,1
852,Benz Truck - гелик,22fRl49GSpRdu3J2EPj1i6,0,Come Over When You're Sober (Part One),Lil Peep,87,2017-08-14,159986,0.0498,0.602,0.762,0.00819,0.121,-6.149,0.0347,92.02,4,1
853,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,63,LAST CHRISTMAS,Wham!,70,1984-11-29,262960,0.189,0.735,0.478,2.48e-06,0.355,-12.472,0.0293,107.682,4,1
854,Awful Things,0bcEHhsuLRDm712CQHomdm,0,Come Over When You're Sober (Part One),Lil Peep,87,2017-08-14,214426,0.0157,0.368,0.796,0.0,0.0694,-4.923,0.0823,170.033,4,1
855,All Night,5mAxA6Q1SIym6dPNiFLUyd,42,All Night,Steve Aoki,79,2017-11-17,205333,0.0724,0.545,0.865,4.79e-06,0.919,-2.601,0.0522,89.992,4,1
856,Sky Walker (feat. Travis Scott),1DRW9bQzt2SE8f7H4KJZyL,45,Sky Walker (feat. Travis Scott),Miguel,82,2017-08-25,260077,0.0876,0.629,0.717,0.0,0.358,-5.706,0.0638,145.959,4,1
857,Get It Right (feat. MØ),68m6iwhKElLTBaGRG1LLwE,0,Get It Right (feat. MØ),Diplo,84,2017-11-15,172500,0.108,0.456,0.833,1.71e-05,0.0592,-4.242,0.0964,159.808,4,1
858,GUMMO,2vjmyyAnDUzilFYxOlTdO1,50,GUMMO,6ix9ine,77,2017-11-10,157643,0.0553,0.66,0.775,0.0,0.129,-4.926,0.172,157.036,4,1
859,Rubbin Off The Paint,0taOCiup4HNG9LmbduVlJj,0,Rubbin Off The Paint,YBN Nahmir,69,2017-10-20,156057,0.000662,0.721,0.71,0.0,0.359,-9.294,0.295,108.024,5,1
860,MIC Drop (feat. Desiigner) [Steve Aoki Remix],7Ed6BkggCS2KaKY5YlINaF,12,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,96,2017-11-24,238726,0.0157,0.613,0.842,0.0,0.23,-4.332,0.219,169.917,4,1
861,Naked,7krbSH3rd8lhIZvuzTV3Bl,68,Naked,James Arthur,83,2017-11-24,234106,0.104,0.529,0.607,0.0,0.0631,-6.781,0.0574,101.966,4,1
862,Reggaetón Lento (Remix),5PB8zB1MOZASboLquvinMF,0,Glory Days: The Platinum Edition,Little Mix,84,2017-11-24,188786,0.158,0.623,0.909,0.0,0.0972,-3.079,0.0758,93.984,4,1
863,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",0OI7AFifLSoGzpb8bdBLLV,71,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",Machine Gun Kelly,89,2017-11-18,202804,0.00413,0.653,0.718,0.0,0.0537,-5.232,0.213,82.034,4,1
864,It's Beginning to Look a Lot like Christmas,0lLdorYw7lVrJydTINhWdI,44,Christmas,Michael Bublé,78,2011-10-14,206639,0.908,0.339,0.214,7.47e-06,0.341,-11.714,0.0375,94.775,3,1
865,Rockin' Around The Christmas Tree - Single Version,3T7dNA7O8c3Axj5WyDNcH3,0,Anthology 1956-1980 (Volume 1 & 2),Brenda Lee,58,1991-01-01,125826,0.706,0.703,0.407,0.0,0.45,-12.155,0.0504,140.057,4,1
866,Mistletoe,32OWobmyAz8J2qA8iWekyS,0,Under The Mistletoe (Deluxe Edition),Justin Bieber,96,2011-01-01,182946,0.511,0.666,0.543,0.0,0.0911,-9.188,0.0446,161.947,4,1
867,It's the Most Wonderful Time of the Year,5hslUAKq9I9CG2bAulFkHN,54,The Andy Williams Christmas Album,Andy Williams,62,1963-11-24,151933,0.766,0.24,0.598,0.0,0.117,-8.435,0.0369,201.629,3,1
868,Santa Tell Me,1ADjWm8QNhgNV8yCNNgQ1T,0,Santa Tell Me,Ariana Grande,93,2014-11-24,204093,0.0464,0.464,0.63,0.0,0.295,-7.337,0.182,132.96,5,1
869,GPS (feat. French Montana),3t6j6WNv2OSn6qm5Vxynub,62,GPS (feat. French Montana),Maluma,89,2017-11-24,216306,0.188,0.841,0.629,0.0,0.346,-3.033,0.114,143.949,4,1
870,Do They Know It's Christmas? - 1984 Version,1hvpDAxZPKjKztOc72sv06,0,Do They Know Its Christmas?,Band Aid 20,14,2004-01-01,222533,0.164,0.599,0.642,3.33e-05,0.0992,-6.936,0.0363,115.412,4,1
871,Codeine Dreaming (feat. Lil Wayne),4DTpngLjoHj5gFxEZFeD3J,65,Project Baby 2: All Grown Up (Deluxe Edition),Kodak Black,86,2017-11-24,264531,0.0652,0.736,0.604,6.43e-05,0.124,-7.357,0.222,155.007,4,1
872,Jingle Bell Rock,4IdXngKo4g5exqZ0fQTecu,0,Mercy Me - Christmas Needs Love,Anita Kerr Singers,35,2017-11-10,130266,0.918,0.741,0.326,0.0,0.0658,-12.045,0.0395,120.992,4,1
873,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),7inXu0Eaeg02VsM8kHNvzM,0,Christmas Songs By Sinatra,Frank Sinatra,79,1948,155600,0.881,0.603,0.321,0.0,0.34,-11.489,0.0599,143.104,4,1
874,Perfect Duet (Ed Sheeran & Beyoncé),1bhUWB0zJMIKr9yVPrkEuI,79,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,96,2017-11-30,259550,0.779,0.587,0.299,0.0,0.123,-7.365,0.0263,94.992,3,1
875,Him & I,3YU6vJbjYUG0tiJyXf9x5V,0,Him & I,G-Eazy,81,2017-11-30,268866,0.0534,0.589,0.731,0.0,0.308,-6.343,0.0868,87.908,4,1
876,Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,75,reputation,Taylor Swift,98,2017-11-10,211853,0.204,0.766,0.709,1.41e-05,0.126,-6.471,0.123,128.07,4,1
877,So Far Away (feat. Jamie Scott & Romy Dya),0OlnLZY4cmQzT6ZGttvWBM,65,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,82,2017-12-01,183636,0.435,0.526,0.52,0.0,0.197,-7.985,0.0569,149.119,4,1
878,Escápate Conmigo (feat. Ozuna),1KSqYYJFyfTecXFk9M0prc,72,Victory,Wisin,83,2017-12-01,232786,0.0256,0.744,0.859,6.27e-05,0.0881,-3.166,0.0795,91.977,4,1
879,...Ready For It?,2yLa0QULdQr0qAIvVwN6B5,72,reputation,Taylor Swift,98,2017-11-10,208186,0.0527,0.613,0.764,0.0,0.197,-6.509,0.136,160.015,4,1
880,Happy Xmas (War Is Over) - Remastered 2010,3zJw3rugfpVrmBeDDnUYzy,4,Power To The People - The Hits,John Lennon,73,2010-10-04,213880,0.318,0.328,0.607,0.0,0.765,-11.076,0.0315,146.537,3,1
881,White Christmas,4so0Wek9Ig1p6CRCHuINwW,49,Holiday Inn (Original Motion Picture Soundtrack),Bing Crosby,59,1942-01-01,177480,0.673,0.317,0.158,0.353,0.338,-16.485,0.0381,130.503,3,1
882,Gorgeous,1ZY1PqizIl78geGM4xWlEA,71,reputation,Taylor Swift,98,2017-11-10,209680,0.0713,0.8,0.535,9.48e-06,0.213,-6.684,0.135,92.027,4,1
883,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,73,War & Leisure,Miguel,82,2017-12-01,259333,0.173,0.674,0.506,0.0,0.0866,-10.532,0.0434,145.965,4,1
884,End Game,2x0WlnmfG39ZuDmstl9xfX,70,reputation,Taylor Swift,98,2017-11-10,244826,0.00845,0.649,0.589,0.0,0.108,-6.237,0.0558,159.073,4,1
885,Fairytale of New York (feat. Kirsty MacColl),3VTNVsTTu05dmTsVFrmGpK,55,If I Should Fall from Grace with God (Expanded Edition),The Pogues,59,1988-09-05,272466,0.582,0.271,0.551,4.16e-05,0.256,-7.48,0.0457,78.111,4,1
886,Feliz Navidad,7taXf5odg9xCAZERYfyOkS,49,The Definite Best,José Feliciano,66,2001-09-03,182360,0.534,0.485,0.857,0.0,0.347,-7.059,0.0442,148.749,4,1
887,Driving Home for Christmas,0ZoHHROTzwIYeNAHRPedTY,40,New Light Through Old Windows,Chris Rea,62,1988-10-17,239946,0.556,0.603,0.705,0.000123,0.342,-7.547,0.0328,90.12,4,1
888,Wonderful Christmastime - Remastered 2011 / Edited Version,4gavOCQdZ2g86gkvi17FM7,0,McCartney II (Special Edition),Paul McCartney,74,1980-05-16,227653,0.322,0.774,0.511,0.0,0.0672,-8.914,0.0319,94.736,4,1
889,I Did Something Bad,4svZDCRz4cJoneBpjpx8DJ,73,reputation,Taylor Swift,98,2017-11-10,238253,0.0679,0.696,0.602,2.11e-05,0.0696,-6.156,0.159,82.989,4,1
890,Chambea,6ElmxV9B2mSNscEjP27M7i,0,Chambea,Bad Bunny,100,2017-12-01,191999,0.24,0.854,0.868,0.00204,0.152,-3.455,0.154,115.99,4,1
891,Miss You,3zxrecYFao03IrrcyFiaMU,65,Miss You,Louis Tomlinson,72,2017-12-01,182026,0.0216,0.541,0.69,0.0,0.257,-5.391,0.206,180.239,3,1
892,Tell Me You Love Me,5Htb1uFQ1KrkFXlefS8oGj,0,Tell Me You Love Me,Demi Lovato,85,2017-09-29,236986,0.0247,0.516,0.592,0.0,0.181,-5.465,0.0566,82.05,4,1
893,Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE,74,reputation,Taylor Swift,98,2017-11-10,236413,0.106,0.615,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,4,1
894,Delicate,6NFyWDv5CjfwuzoCkw47Xf,75,reputation,Taylor Swift,98,2017-11-10,232253,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4,1
895,The Christmas Song (Merry Christmas To You),5humEOJehpAwMJEJmb0JJ2,30,The Nat King Cole Story,Nat King Cole,70,1991-01-01,190973,0.904,0.31,0.095,3.43e-05,0.128,-17.828,0.0366,72.76,4,1
896,Call It What You Want,1GwMQaZz6Au3QLDbjbMdme,70,reputation,Taylor Swift,98,2017-11-10,203506,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,4,1
897,Have Yourself A Merry Little Christmas,7Hz6LLOVxrojLPIHJJ1S0E,0,Have Yourself A Merry Little Christmas,Sam Smith,86,2014-12-05,170964,0.954,0.426,0.177,0.0,0.317,-9.429,0.0436,133.483,1,1
898,Holly Jolly Christmas,6tjituizSxwSmBB5vtgHZE,39,Christmas,Michael Bublé,78,2011-10-14,119786,0.865,0.647,0.465,0.0,0.0882,-8.308,0.0428,151.251,4,1
899,A Holly Jolly Christmas - Single Version,65Q2mv3UlVi9eO70OpsmSe,0,Have A Holly Jolly Christmas,Burl Ives,47,1965-01-01,135533,0.579,0.683,0.375,0.0,0.076,-13.056,0.0303,140.467,4,1
900,Look At Me!,6eYxmK9fdL4hwLnXG2zY3s,60,Revenge,XXXTENTACION,92,2017-05-16,126345,0.259,0.763,0.726,0.0,0.0976,-6.405,0.282,139.059,4,1
901,Merry Christmas Everyone - Remastered,2ISl1zekPsc26sUQpVt8UB,0,Merry Christmas Everyone,Shakin' Stevens,55,1991,220160,0.128,0.541,0.909,0.0,0.128,-3.101,0.0358,203.862,4,1
902,Blue Christmas,3QiAAp20rPC3dcAtKtMaqQ,50,Elvis' Christmas Album,Elvis Presley,80,1957-10-15,129173,0.9,0.465,0.27,0.00104,0.145,-16.661,0.0425,94.518,4,1
903,Never Be the Same,6VpQdig9pdpTSIFItgkJV5,62,Never Be the Same,Camila Cabello,89,2017-12-17,227087,0.145,0.643,0.709,0.000449,0.115,-4.343,0.0733,129.961,4,1
904,Go Legend (& Metro Boomin),3wAI7MIQtTgwcRmwchPZBc,57,Double Or Nothing (& Metro Boomin),Big Sean,84,2017-12-08,268946,0.0167,0.656,0.564,1.39e-06,0.165,-8.925,0.0883,150.014,4,1
905,Real Friends,4V6MRo0CEAC9MwAm7dkPuL,56,Real Friends,Camila Cabello,89,2017-12-06,213932,0.835,0.74,0.303,0.0,0.0782,-8.612,0.117,91.958,4,1
906,Untouchable,4UgoXTsKI19EdofRMiqhp0,0,Untouchable,Eminem,95,2017-12-08,370133,0.0804,0.571,0.886,0.0,0.122,-3.377,0.463,88.808,4,1
907,Pull Up N Wreck (& Metro Boomin),7DuvVy7JfFgXwWlVzyyPys,54,Double Or Nothing (& Metro Boomin),Big Sean,84,2017-12-08,227533,0.00806,0.49,0.44,0.00103,0.186,-7.76,0.353,173.095,4,1
908,Christmas Lights,4fzyvSu73BhGvi96p2zwjL,51,Christmas Lights,Coldplay,92,2010-12-01,242495,0.131,0.315,0.418,0.000679,0.0836,-9.146,0.0299,129.116,4,1
909,Hallelujah,550rQQCGkrTzvp4SfpOPzx,62,A Pentatonix Christmas,Pentatonix,69,2016-10-21,268960,0.454,0.322,0.377,0.0,0.338,-7.385,0.0356,118.669,4,1
910,Dreamer,0RTzJVkunbGwuRjXDFHnjf,63,More Than You Know,Axwell /\ Ingrosso,70,2017-07-28,251147,0.0237,0.627,0.847,0.0,0.212,-5.303,0.0352,126.017,4,1
911,Carol of the Bells,4tHqQMWSqmL6YjXwsqthDI,51,Home Alone (Original Motion Picture Soundtrack) [Anniversary Edition],John Williams,75,1990,85266,0.994,0.418,0.106,0.0292,0.179,-22.507,0.0448,46.718,4,1
912,Santa's Coming for Us,3AlpkljBS1AU7HFVPms8K6,1,Everyday Is Christmas,Sia,88,2017-11-17,206533,0.0205,0.669,0.854,0.0,0.047,-4.486,0.0999,93.057,4,1
913,Santa Baby (with Henri René & His Orchestra),1foCxQtxBweJtZmdxhEHVO,41,Heavenly Eartha,Eartha Kitt,53,2002,206066,0.902,0.7,0.139,0.0,0.185,-12.346,0.0607,84.485,4,1
914,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),6IeK3Ap5m3HabwJxgI6eSE,12,Greatest Christmas Songs,Perry Como,60,1999-08-20,155933,0.76,0.724,0.276,0.0,0.116,-12.25,0.0599,112.874,4,1
915,So Good (& Metro Boomin),0fWBFDRTIuk8ZgNdZqhCer,59,Double Or Nothing (& Metro Boomin),Big Sean,84,2017-12-08,268720,0.0144,0.619,0.404,0.0,0.115,-8.333,0.441,90.008,4,1
916,River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,0,Revival,Eminem,95,2017-12-15,221013,0.17,0.757,0.748,0.0,0.0759,-5.794,0.473,90.052,4,1
