,Unnamed: 0,name,trackID,popularity,album,artist,artist_popularity,release_date,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,Is hit,Pop,Rock,Country,R&B,Hiphop
0,0,Starboy,5aAx2yezTd8zXrkmtKl66Z,0,Starboy,The Weeknd,97,2016-11-25,230453,0.165,0.681,0.594,3.49e-06,0.134,-7.028,0.282,186.054,4,2017,1,1,0,0,0,0
1,1,Closer,7BKLCZ1jbUBVqRi2FVlTVw,83,Closer,The Chainsmokers,86,2016-07-29,244960,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,4,2017,1,1,0,0,0,0
2,2,Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,74,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,81,2016-10-21,251088,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965,4,2017,1,1,0,0,0,0
3,3,Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,0,Encore,DJ Snake,82,2016-08-05,205946,0.0784,0.476,0.718,1.02e-05,0.122,-5.309,0.0576,199.864,4,2017,1,1,0,0,0,0
4,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,0,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,81,2016-12-09,245200,0.0631,0.735,0.451,1.3e-05,0.325,-8.374,0.0585,117.973,4,2017,1,1,0,0,0,0
5,5,Don't Wanna Know,5MFzQMkrl1FOOng9tq6R9r,0,Don't Wanna Know,Maroon 5,90,2016-10-11,214480,0.338,0.783,0.623,0.0,0.0975,-6.126,0.08,100.048,4,2017,1,1,0,0,0,0
6,6,Fake Love,343YBumqHu19cGoGARUTsd,73,More Life,Drake,98,2017-03-18,210937,0.105,0.928,0.481,0.0,0.176,-9.35,0.287,134.007,4,2017,1,0,0,0,0,1
7,7,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,82,Back from the Edge,James Arthur,83,2016-10-28,211466,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.043,4,2017,1,1,0,0,0,0
8,8,24K Magic,6b8Be6ljOzmkOmFslEb23P,77,24K Magic,Bruno Mars,93,2016-11-17,225983,0.034,0.818,0.803,0.0,0.153,-4.282,0.0797,106.97,4,2017,1,1,0,0,0,0
9,9,I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,71,Starboy,The Weeknd,97,2016-11-24,269186,0.426,0.773,0.819,0.0,0.0679,-5.946,0.118,92.99,4,2017,1,1,0,0,0,0
10,10,Black Beatles,6fujklziTHa8uoM5OQSfIo,75,SremmLife 2 (Deluxe),Rae Sremmurd,78,2016-08-12,291893,0.142,0.794,0.632,0.0,0.128,-6.163,0.0649,145.926,4,2017,1,1,0,0,0,1
11,11,One Dance,1xznGGDReH1oQq0xzbwXa3,0,Views,Drake,98,2016-05-06,173986,0.00784,0.791,0.619,0.00423,0.351,-5.886,0.0532,103.989,4,2017,1,0,0,0,0,1
12,12,Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,74,El Dorado,Shakira,86,2017-05-26,195840,0.187,0.852,0.773,3.05e-05,0.159,-2.921,0.0776,102.034,4,2017,1,1,0,0,0,0
13,13,Cold Water (feat. Justin Bieber & MØ),6DNtNfH8hXkqOX1sjqmI7p,0,Cold Water (feat. Justin Bieber & MØ),Major Lazer,79,2016-07-22,185351,0.0736,0.608,0.798,0.0,0.156,-5.092,0.0432,92.943,4,2017,1,1,0,0,0,0
14,14,Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,44,Call On Me (Remixes),Starley,61,2016-10-14,222040,0.0604,0.67,0.838,0.000611,0.159,-4.031,0.0362,104.998,4,2017,1,0,0,0,0,0
15,15,In the Name of Love,04DwTuZ2VBdJCCC5TROn7L,21,The Martin Garrix Collection,Martin Garrix,82,2017-04-21,195840,0.0592,0.49,0.485,0.0,0.337,-6.237,0.0406,133.889,4,2017,1,1,0,0,0,0
16,16,Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,69,Culture,Migos,83,2017-04-07,343150,0.0611,0.926,0.666,0.0,0.123,-5.314,0.244,127.079,4,2017,1,0,0,0,0,1
17,17,Side To Side,4pLwZjInHj3SimIyN9SnOz,0,Dangerous Woman,Ariana Grande,93,2016-05-20,226160,0.0408,0.648,0.738,0.0,0.292,-5.883,0.247,159.145,4,2017,1,1,0,0,0,0
18,18,Just Hold On,3EmmCZoqpWOTY1g2GBwJoR,62,Just Hold On,Steve Aoki,79,2016-12-10,198774,0.00383,0.647,0.932,1.5e-06,0.0574,-3.515,0.0824,114.991,4,2017,1,0,0,0,0,0
19,19,Starving,1qOLh0tI7trd1zdDKxYZTe,0,HAIZ,Hailee Steinfeld,76,2016-07-15,181880,0.371,0.636,0.633,0.0,0.102,-4.23,0.126,99.721,4,2017,1,1,0,0,0,0
20,20,Bad Things (with Camila Cabello),1PSBzsahR2AKwLJgx8ehBj,71,bloom,Machine Gun Kelly,88,2017-05-12,239293,0.214,0.697,0.691,0.0,0.185,-4.757,0.146,137.853,4,2017,1,0,0,0,0,0
21,21,Mercy,4TZy1wLyHec06pwgFYDh1a,0,Illuminate,Shawn Mendes,90,2017-03-03,208733,0.137,0.469,0.68,0.0,0.11,-4.921,0.117,147.734,4,2017,1,1,0,0,0,0
22,22,My Way,1vvNmPOiUuyCbgWmtc6yfm,73,My Way,Calvin Harris,87,2016-09-16,219159,0.093,0.818,0.913,3.69e-05,0.161,-3.06,0.0426,119.986,4,2017,1,1,0,0,0,0
23,23,All We Know,2rizacJSyD9S1IQUxUxnsK,68,All We Know,The Chainsmokers,86,2016-09-29,194080,0.097,0.662,0.586,0.00272,0.115,-8.821,0.0307,90.0,4,2017,1,1,0,0,0,0
24,24,Don't Let Me Down (feat. Daya),0QsvXIfqM0zZoerQfsI9lm,41,The Chainsmokers- Japan Special Edition,The Chainsmokers,86,2016-08-10,208053,0.16,0.542,0.859,0.00466,0.137,-5.651,0.197,159.797,4,2017,1,1,0,0,0,0
25,25,Treat You Better,4Hf7WnR761jpxPr5D46Bcd,0,Illuminate,Shawn Mendes,90,2017-03-03,187973,0.123,0.624,0.803,0.0,0.114,-4.105,0.246,166.018,4,2017,1,1,0,0,0,0
26,26,Heathens,6i0V12jOa3mr6uu4WYhUBr,79,Heathens,Twenty One Pilots,85,2016-06-16,195920,0.0841,0.732,0.396,3.58e-05,0.105,-9.348,0.0286,90.024,4,2017,1,0,1,0,0,0
27,27,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,76,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,83,2016-05-06,236001,0.0123,0.666,0.83,0.0,0.191,-5.715,0.0751,113.03,4,2017,1,1,0,0,0,0
28,28,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,62,Know-It-All (Deluxe),Alessia Cara,80,2015-11-13,230226,0.0285,0.573,0.739,0.0,0.111,-5.74,0.129,97.085,4,2017,1,1,0,0,0,0
29,29,All Night,1yNyoWWWikbLhwIGWjZuDW,0,All Night,The Vamps,75,2016-10-14,197793,0.00251,0.563,0.775,0.0,0.326,-6.433,0.0366,144.945,4,2017,1,1,0,0,0,0
30,30,Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j,75,This Is Acting,Sia,88,2016-01-29,211666,0.0472,0.628,0.698,0.00143,0.0907,-5.608,0.105,89.976,4,2017,1,1,0,0,0,0
31,31,Now and Later,43jBqV3j3Xi1g6wO0bhIMd,54,Now and Later,Sage The Gemini,70,2016-10-14,193181,0.273,0.781,0.57,0.0,0.196,-5.874,0.188,107.059,4,2017,1,0,0,0,0,0
32,32,Love Me Now,6nxQdXa1uAL0rY72wPZu89,63,DARKNESS AND LIGHT,John Legend,81,2016-12-02,210293,0.591,0.495,0.762,0.0,0.0763,-3.842,0.0862,123.893,4,2017,1,1,0,0,1,0
33,33,By Your Side,1D3ODoXHBLpdxolZRHWV1j,0,By Your Side,Jonas Blue,80,2016-10-28,201254,0.0778,0.696,0.743,0.0,0.0581,-3.838,0.0331,122.978,4,2017,1,1,0,0,0,0
34,34,Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,71,Primera Cita,CNCO,75,2016-08-26,222560,0.4,0.761,0.838,0.0,0.176,-3.073,0.0502,93.974,4,2017,1,0,0,0,0,0
35,35,Alone,0JiVRyTJcJnmlwCZ854K4p,61,Alone,Alan Walker,85,2016-12-02,161200,0.186,0.676,0.929,0.000405,0.121,-3.194,0.0458,97.019,4,2017,1,0,0,0,0,0
36,36,The Mack,7aV2mflaASUmGhCErm7kBO,0,The Mack,Nevada,53,2016-09-23,167038,0.0707,0.707,0.883,0.0,0.23,-4.281,0.0602,106.031,4,2017,1,0,0,0,0,0
37,37,I Would Like,4Q4jmPHwu0wrJvqrld0FQ6,57,So Good,Zara Larsson,79,2017-03-17,226720,0.0853,0.486,0.713,0.0,0.0839,-3.949,0.0524,121.028,4,2017,1,1,0,0,0,0
38,38,Shed a Light,1cG0umU5TKStygKsPFZ9pY,58,Shed a Light,Robin Schulz,83,2016-11-25,191379,0.112,0.483,0.787,0.0,0.257,-5.244,0.102,122.058,4,2017,1,1,0,0,0,0
39,39,I Took A Pill In Ibiza - Seeb Remix,17Fd6Yb7mSbinKG8LoWfFl,0,"At Night, Alone.",Mike Posner,75,2016-05-06,197933,0.0353,0.663,0.713,7.68e-06,0.0843,-6.647,0.112,101.965,4,2017,1,1,0,0,0,0
40,40,We Don't Talk Anymore (feat. Selena Gomez),68EMU2RD1ECNeOeJ5qAXCV,55,Nine Track Mind,Charlie Puth,86,2015-11-05,217706,0.621,0.728,0.563,0.0,0.179,-8.053,0.134,100.017,4,2017,1,1,0,0,0,0
41,41,Hear Me Now,1a5Yu5L18qNxVhXx38njON,51,Hear Me Now,Alok,83,2016-01-01,192846,0.537,0.788,0.43,0.00261,0.0936,-7.757,0.0419,121.996,4,2017,1,0,0,0,0,0
42,42,Safari,6rQSrBHf7HlZjtcMZ4S4bO,0,Energía,J Balvin,93,2016-06-24,205600,0.551,0.508,0.687,3.41e-06,0.126,-4.361,0.326,180.044,4,2017,1,0,0,0,0,0
43,43,Broccoli (feat. Lil Yachty),7yyRTcZmCiyzzJlNzGC9Ol,62,Big Baby DRAM,Shelley FKA DRAM,66,2016-10-21,225205,0.236,0.886,0.525,0.0,0.057,-7.39,0.131,145.99,4,2017,1,0,0,0,0,0
